deckname,modularity,value
The Fire Breathers of the Heartseeker|The Protectors of the Saving Herbs,0.455621301775148,3.3458333333333337
The Fire Breathers of the Heartseeker|The Crossing Soul Hags,0.3074792243767313,4.650735294117647
The Fire Breathers of the Heartseeker|The Professing Watchdogs,0.55,2.6666666666666674
The Fire Breathers of the Heartseeker|The Group of Brass Conspiracies,0.2528256989886972,5.3374999999999995
The Fire Breathers of the Heartseeker|The Fleeing Feasting Brother Flock,0.4609781477627471,3.970833333333333
The Fire Breathers of the Heartseeker|The Imps of Descending Chiron,0.32816326530612244,4.425000000000001
The Fire Breathers of the Heartseeker|Outfit of Camping and Waving,0.3920118343195267,3.5333333333333337
Army of Alpha and Curing|The Tentacles of the Diseased Bone,0.2277685950413223,7.2375
Army of Alpha and Curing|The Sentrys of Failure Faith,0.4498269896193771,4.475
Army of Alpha and Curing|The Former Hoping Valkyrie Trustees,0.37109375,4.576190476190478
Army of Alpha and Curing|The Fire Breathers of the Heartseeker,0.4787379972565157,3.4958333333333336
Army of Alpha and Curing|The Mothers of the Plutonium Echo,0.5261707988980717,3.9117647058823524
Army of Alpha and Curing|The Hurting Demons Larvae,0.27210884353741494,7.264705882352939
Army of Alpha and Curing|The Aunts of Bleeding Brightsteel,0.27625,6.237179487179487
Army of Alpha and Curing|The Liches of Rebirth and Duskmaw,0.28,5.868131868131869
Army of Alpha and Curing|The Fortelling Aggravating Ticklers,0.316734693877551,4.938095238095239
Army of Alpha and Curing|The Opening Sisters Liches,0.22414201183431953,7.656862745098037
Army of Alpha and Curing|Vindicators of Sobbing and Baking,0.4576,3.6373626373626378
Army of Alpha and Curing|Sparky's Attentive Combatants,0.5744,3.158333333333333
Army of Alpha and Curing|The Raiders of Hound and Mask,0.23300188121472726,7.680147058823526
Army of Alpha and Curing|The Serious Silver Soldiers,0.535,2.895604395604396
Army of Alpha and Curing|The Sorcerers of the Oratek Eruptor,0.3281965847563515,5.836601307189543
Army of Alpha and Curing|The Sixth Barb Band,0.3579545454545454,5.708333333333333
Army of Alpha and Curing|The Masters of Swearing,0.2700773349196906,5.391666666666667
Army of Alpha and Curing|The Quantums of Metal and Faith,0.38781163434903043,4.8374999999999995
Army of Alpha and Curing|The Overseers of Sparky,0.3436385255648038,4.208791208791209
Army of Alpha and Curing|Doctors of Tatoo and Comparing,0.31921487603305787,5.522058823529411
Army of Alpha and Curing|The Savants of the Ending Predator,0.3503086419753086,4.925
Army of Alpha and Curing|The Host of the Confident Miracles,0.4304399524375744,3.808333333333333
Army of Alpha and Curing|The King Varna Generals,0.22392310430758278,6.758333333333334
Army of Alpha and Curing|The Pondering Iron Advisers,0.32709750566893414,4.722222222222221
Army of Alpha and Curing|The Raiders of Leading Capitals,0.3839750260145681,4.543956043956044
Army of Alpha and Curing|The Monks of the Great Quitting Fire,0.462962962962963,3.3636363636363633
Army of Alpha and Curing|The Senseis who became Champs,0.3266630611141157,5.804166666666667
Army of Alpha and Curing|The Protectors of the Saving Herbs,0.37981269510926113,4.5054945054945055
Army of Alpha and Curing|The Crossing Soul Hags,0.314266929651545,5.304761904761905
Army of Alpha and Curing|The Professing Watchdogs,0.5227272727272727,3.4230769230769242
Army of Alpha and Curing|The Group of Brass Conspiracies,0.2978512396694214,6.974999999999999
Army of Alpha and Curing|The Squadron of the Fire,0.39853076216712585,4.557142857142858
Army of Alpha and Curing|The Imps of Descending Chiron,0.1911703456892961,6.747619047619048
The Mothers of the Plutonium Echo|The Tentacles of the Diseased Bone,0.3829201101928375,4.175000000000001
The Mothers of the Plutonium Echo|The Omnivore Brutish Herders,0.47111111111111115,4.004761904761906
The Mothers of the Plutonium Echo|The Former Hoping Valkyrie Trustees,0.40479999999999994,3.4333333333333336
The Mothers of the Plutonium Echo|The Simple Lords,0.5456,3.8589743589743595
The Mothers of the Plutonium Echo|The Fire Breathers of the Heartseeker,0.5260770975056689,2.65
The Mothers of the Plutonium Echo|Army of Alpha and Curing,0.524234693877551,3.529166666666667
The Mothers of the Plutonium Echo|The Hurting Demons Larvae,0.4048979591836735,4.216911764705881
The Mothers of the Plutonium Echo|The Liches of Rebirth and Duskmaw,0.5668934240362811,2.6333333333333333
The Mothers of the Plutonium Echo|The Fortelling Aggravating Ticklers,0.45312499999999994,3.478021978021978
The Mothers of the Plutonium Echo|The Opening Sisters Liches,0.33832644628099173,4.839181286549708
The Mothers of the Plutonium Echo|Vindicators of Sobbing and Baking,0.6955017301038062,2.271428571428572
The Mothers of the Plutonium Echo|Brigade of Druid and Weird,0.6427221172022685,3.0714285714285716
The Mothers of the Plutonium Echo|The Raiders of Hound and Mask,0.36574074074074076,4.816666666666666
The Mothers of the Plutonium Echo|The Sorcerers of the Oratek Eruptor,0.33448753462603875,5.029166666666667
The Mothers of the Plutonium Echo|The Farmers of the Spiky Tunnels,0.505,3.108974358974359
The Mothers of the Plutonium Echo|The Sixth Barb Band,0.48960000000000004,3.1375
The Mothers of the Plutonium Echo|The Masters of Swearing,0.45414201183431957,3.3000000000000003
The Mothers of the Plutonium Echo|The Phalanx of Everflow Treefolk,0.4054054054054055,4.658333333333333
The Mothers of the Plutonium Echo|The Champions of the Whisker,0.46527777777777773,4.007575757575757
The Mothers of the Plutonium Echo|Doctors of Tatoo and Comparing,0.3780276816608996,4.2316176470588225
The Mothers of the Plutonium Echo|The Savants of the Ending Predator,0.46227709190672156,3.5250000000000004
The Mothers of the Plutonium Echo|The Hermit Spiders,0.5034293552812071,3.647619047619048
The Mothers of the Plutonium Echo|The Host of the Confident Miracles,0.43749999999999994,3.472527472527473
The Mothers of the Plutonium Echo|The King Varna Generals,0.40943877551020413,3.761904761904763
The Mothers of the Plutonium Echo|The Company of Botany,0.6631944444444444,3.434065934065934
The Mothers of the Plutonium Echo|The Monks of the Great Quitting Fire,0.49112426035502965,2.6111111111111116
The Mothers of the Plutonium Echo|The Mice of the Fierce Fur,0.543388429752066,2.942857142857144
The Mothers of the Plutonium Echo|The Senseis who became Champs,0.44470868014268733,3.75
The Mothers of the Plutonium Echo|The Crossing Soul Hags,0.4822485207100592,3.5047619047619056
The Mothers of the Plutonium Echo|The Group of Brass Conspiracies,0.48559670781893005,3.4333333333333336
The Mothers of the Plutonium Echo|The Fleeing Feasting Brother Flock,0.49635796045785635,3.5032679738562087
The Mothers of the Plutonium Echo|The Squadron of the Fire,0.4828532235939643,3.6047619047619057
The Mothers of the Plutonium Echo|The Imps of Descending Chiron,0.4618055555555555,3.434065934065934
The Mothers of the Plutonium Echo|Outfit of Camping and Waving,0.5268595041322314,3.1538461538461546
The Hurting Demons Larvae|The Sentrys of Failure Faith,0.36987654320987656,5.336601307189542
The Hurting Demons Larvae|The Omnivore Brutish Herders,0.2205707491082045,7.0919117647058805
The Hurting Demons Larvae|The Former Hoping Valkyrie Trustees,0.2097107438016529,6.357142857142858
The Hurting Demons Larvae|The Simple Lords,0.22611570247933876,7.928571428571429
The Hurting Demons Larvae|The Fire Breathers of the Heartseeker,0.27203893996755,5.616666666666666
The Hurting Demons Larvae|Army of Alpha and Curing,0.255228017132779,7.267973856209149
The Hurting Demons Larvae|The Mothers of the Plutonium Echo,0.40749553837001784,4.663398692810456
The Hurting Demons Larvae|The Aunts of Bleeding Brightsteel,0.28600823045267487,6.477941176470588
The Hurting Demons Larvae|The Fortelling Aggravating Ticklers,0.20597555454956995,6.733333333333333
The Hurting Demons Larvae|Vindicators of Sobbing and Baking,0.3413309189678587,5.428104575163398
The Hurting Demons Larvae|Brigade of Druid and Weird,0.2933454051607062,6.552380952380952
The Hurting Demons Larvae|Sparky's Attentive Combatants,0.3586559532505479,4.481617647058823
The Hurting Demons Larvae|The Serious Silver Soldiers,0.349862258953168,4.533333333333333
The Hurting Demons Larvae|The Sorcerers of the Oratek Eruptor,0.20497041420118348,8.022875816993462
The Hurting Demons Larvae|The Farmers of the Spiky Tunnels,0.2430964237211408,5.805147058823529
The Hurting Demons Larvae|The Masters of Swearing,0.19933884297520654,7.0441176470588225
